size,data,pointer,primitive
5,17463908,17510234,17389689
6,17417469,17442633,17491780
7,17486337,17210763,17334534
8,17515517,17559335,17124984
9,17366364,17560921,17180703
10,17681539,17878573,17252099
11,18206048,18619365,17303334
12,41828942,42159104,17688042
13,43828025,43572837,17202153
14,71075501,69652288,17311336
15,78440015,78494389,17443230
16,121005333,118289892,17486260
17,158322341,151983002,17616944
18,258616596,241440634,17448957
19,414068803,374296918,17388574
20,793245804,706312928,17533766
